step,loss,acc
0,3.271632432937622,0.0
100,1.9805785417556763,0.54541015625
200,1.6159919500350952,0.59228515625
300,1.5461530685424805,0.73388671875
400,1.108808159828186,0.5986328125
500,0.7711565494537354,0.73828125
600,0.6633406281471252,0.6953125
700,0.8171834945678711,0.7275390625
800,0.40822815895080566,0.73388671875
900,0.40323370695114136,0.81005859375
1000,0.3099686801433563,0.740234375
1100,0.6085701584815979,0.8349609375
1200,1.1954600811004639,0.79296875
1300,0.4957680404186249,0.83447265625
1400,0.4245414733886719,0.83837890625
1500,0.5468347072601318,0.7451171875
1600,0.5831193923950195,0.8291015625
1700,0.5541240572929382,0.82958984375
1800,0.4079185426235199,0.81103515625
1900,0.26970529556274414,0.85498046875
2000,0.5532594323158264,0.8583984375
2100,0.67123943567276,0.85498046875
2200,0.28038185834884644,0.8544921875
2300,0.8509805202484131,0.85595703125
2400,0.3560451865196228,0.85302734375
2500,0.39669734239578247,0.79638671875
2600,0.640476405620575,0.84033203125
2700,0.4272701144218445,0.84228515625
2800,0.46603232622146606,0.87060546875
2900,0.28761962056159973,0.86328125
3000,0.35033419728279114,0.84912109375
3100,0.22006499767303467,0.8779296875
3200,0.41864556074142456,0.869140625
3300,0.5269789695739746,0.85400390625
3400,0.27937051653862,0.88623046875
3500,0.2341029942035675,0.857421875
3600,0.7200201153755188,0.8701171875
3700,0.4492991864681244,0.87744140625
3800,0.2097349613904953,0.90087890625
