step,loss,acc
0,3.2549614906311035,0.0
100,1.5849740505218506,0.5840000510215759
200,0.9802783727645874,0.4505000114440918
300,1.5058339834213257,0.4270000159740448
400,1.0659613609313965,0.5860000252723694
500,0.9289281368255615,0.6920000314712524
600,1.0401533842086792,0.7420000433921814
700,0.7691912651062012,0.7595000267028809
800,0.6094204187393188,0.7475000619888306
900,1.0400198698043823,0.8290000557899475
1000,0.7896999716758728,0.7895000576972961
1100,0.7828701734542847,0.768500030040741
1200,0.6430948376655579,0.768500030040741
1300,0.5335339903831482,0.8065000176429749
1400,0.5853232741355896,0.7820000648498535
1500,0.5051137208938599,0.7970000505447388
1600,0.6052775382995605,0.8135000467300415
1700,0.5574782490730286,0.8520000576972961
1800,0.33361443877220154,0.7870000600814819
1900,0.7473036646842957,0.8090000152587891
2000,0.7725472450256348,0.8290000557899475
2100,0.21646471321582794,0.8640000224113464
2200,0.44130489230155945,0.8410000205039978
2300,0.40630316734313965,0.8405000567436218
2400,0.33716338872909546,0.8460000157356262
2500,0.8506835103034973,0.8380000591278076
2600,0.47249409556388855,0.8705000281333923
2700,0.521207332611084,0.8290000557899475
2800,0.2613380253314972,0.8580000400543213
2900,0.2946344017982483,0.8610000610351562
3000,0.35216063261032104,0.8720000386238098
3100,0.33737143874168396,0.8770000338554382
3200,0.6337711811065674,0.8540000319480896
3300,0.41142037510871887,0.859000027179718
3400,0.20093432068824768,0.859000027179718
3500,0.23496891558170319,0.8170000314712524
3600,0.40703651309013367,0.7985000610351562
3700,0.3880451023578644,0.8580000400543213
3800,0.10192382335662842,0.8735000491142273
