pattern,I_DS(t_last+1)
01101,8.330372787440938
01111,11.082412516918481
11101,8.803580416975375
01101,8.330372787440938
00001,5.949055828372735
01101,8.330372787440938
10010,6.800035903948334
00000,1.0
10000,5.949055828372735
01100,8.70109555785028
11101,8.803580416975375
01111,11.082412516918481
01101,8.330372787440938
01101,8.330372787440938
10001,6.422263457907173
11101,8.803580416975375
10010,6.800035903948334
10000,5.949055828372735
10000,5.949055828372735
10000,5.949055828372735
11101,8.803580416975375
00011,8.70109555785028
00011,8.70109555785028
00011,8.70109555785028
10011,9.174303187384716
