Model,MSO54
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09
Record Length,31250,,Record Length,31250,,Record Length,31250,,Record Length,31250
Zero Index,343.00156250,,Zero Index,343.00156250,,Zero Index,343.00156250,,Zero Index,343.00156250
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2,CH3,CH4
-9.44005000e-07,7.50000000e-03,-1.31250000e-03,-1.90625000e-03,-3.37500000e-02
-9.40805000e-07,1.32812500e-02,-6.87500000e-04,-2.81250000e-04,-4.37500000e-02
-9.37605000e-07,6.09375000e-03,-1.31250000e-03,-1.03125000e-03,-3.23437500e-02
-9.34405000e-07,5.00000000e-03,-1.21875000e-03,-1.53125000e-03,-3.64062500e-02
-9.31205000e-07,6.25000000e-04,-9.68750000e-04,4.68750000e-04,-4.12500000e-02
-9.28005000e-07,3.75000000e-03,-6.56250000e-04,-1.65625000e-03,-2.60937500e-02
-9.24805000e-07,1.26562500e-02,-1.00000000e-03,-2.18750000e-03,-3.84375000e-02
-9.21605000e-07,5.31250000e-03,-1.06250000e-03,-1.40625000e-03,-4.57812500e-02
-9.18405000e-07,3.75000000e-03,-8.75000000e-04,-6.56250000e-04,-4.20312500e-02
-9.15205000e-07,1.01562500e-02,-4.06250000e-04,-2.03125000e-03,-3.34375000e-02
-9.12005000e-07,4.53125000e-03,-1.09375000e-03,-1.28125000e-03,-4.50000000e-02
-9.08805000e-07,8.28125000e-03,-4.37500000e-04,-1.03125000e-03,-4.68750000e-02
-9.05605000e-07,1.17187500e-02,-1.78125000e-03,9.37500000e-05,-3.46875000e-02
-9.02405000e-07,1.56250000e-04,-9.06250000e-04,-1.40625000e-03,-2.75000000e-02
-8.99205000e-07,1.87500000e-03,-1.75000000e-03,-5.31250000e-04,-3.70312500e-02
-8.96005000e-07,7.81250000e-04,-5.31250000e-04,5.93750000e-04,-3.34375000e-02
-8.92805000e-07,6.71875000e-03,-5.93750000e-04,-1.56250000e-04,-3.32812500e-02
-8.89605000e-07,6.25000000e-03,-7.18750000e-04,-1.78125000e-03,-3.43750000e-02
-8.86405000e-07,7.03125000e-03,-3.43750000e-04,3.43750000e-04,-3.89062500e-02
-8.83205000e-07,1.42187500e-02,-3.12500000e-05,-1.56250000e-04,-3.20312500e-02
-8.80005000e-07,8.59375000e-03,-1.65625000e-03,7.18750000e-04,-3.57812500e-02
-8.76805000e-07,1.35937500e-02,-1.87500000e-04,-1.15625000e-03,-3.65625000e-02
-8.73605000e-07,1.01562500e-02,-7.18750000e-04,8.43750000e-04,-3.85937500e-02
-8.70405000e-07,4.06250000e-03,-2.81250000e-04,-4.06250000e-04,-3.82812500e-02
-8.67205000e-07,8.28125000e-03,-1.21875000e-03,2.18750000e-04,-3.87500000e-02
-8.64005000e-07,6.56250000e-03,-2.43750000e-03,2.18750000e-04,-4.03125000e-02
-8.60805000e-07,1.40625000e-02,-6.87500000e-04,-4.06250000e-04,-2.81250000e-02
-8.57605000e-07,1.40625000e-02,-1.09375000e-03,-1.03125000e-03,-3.35937500e-02
-8.54405000e-07,1.34375000e-02,-2.21875000e-03,-1.28125000e-03,-2.71875000e-02
-8.51205000e-07,1.26562500e-02,-3.12500000e-04,-5.31250000e-04,-3.28125000e-02
-8.48005000e-07,7.34375000e-03,-4.06250000e-04,-1.03125000e-03,-3.53125000e-02
-8.44805000e-07,1.06250000e-02,-1.06250000e-03,-4.37500000e-04,-3.56250000e-02
-8.41605000e-07,5.31250000e-03,-2.50000000e-04,-1.15625000e-03,-4.09375000e-02
-8.38405000e-07,3.28125000e-03,-6.87500000e-04,-2.81250000e-04,-3.34375000e-02
-8.35205000e-07,-2.34375000e-03,-2.03125000e-03,-7.81250000e-04,-3.01562500e-02
-8.32005000e-07,6.25000000e-04,-1.78125000e-03,-1.78125000e-03,-2.84375000e-02
-8.28805000e-07,8.75000000e-03,-1.78125000e-03,-1.53125000e-03,-4.56250000e-02
-8.25605000e-07,1.87500000e-03,-1.34375000e-03,-1.15625000e-03,-3.92187500e-02
-8.22405000e-07,8.28125000e-03,-1.12500000e-03,-6.56250000e-04,-3.90625000e-02
-8.19205000e-07,3.28125000e-03,-5.62500000e-04,-1.90625000e-03,-4.29687500e-02
-8.16005000e-07,2.50000000e-03,-1.50000000e-03,-1.56250000e-04,-4.04687500e-02
-8.12805000e-07,6.40625000e-03,1.87500000e-04,9.37500000e-05,-3.89062500e-02
-8.09605000e-07,7.96875000e-03,6.25000000e-05,-1.40625000e-03,-3.64062500e-02
-8.06405000e-07,1.76562500e-02,-9.06250000e-04,-1.40625000e-03,-3.43750000e-02
-8.03205000e-07,1.90625000e-02,-3.12500000e-04,-3.12500000e-05,-3.60937500e-02
-8.00005000e-07,1.46875000e-02,-4.68750000e-04,-2.81250000e-04,-3.65625000e-02
-7.96805000e-07,1.92187500e-02,-3.12500000e-04,2.18750000e-04,-3.98437500e-02
-7.93605000e-07,1.34375000e-02,-1.25000000e-03,-1.40625000e-03,-3.51562500e-02
-7.90405000e-07,4.06250000e-03,-1.12500000e-03,-2.81250000e-04,-3.95312500e-02
-7.87205000e-07,7.96875000e-03,-1.87500000e-04,-1.78125000e-03,-4.04687500e-02
-7.84005000e-07,3.59375000e-03,-6.87500000e-04,-1.28125000e-03,-3.64062500e-02
-7.80805000e-07,6.25000000e-04,-2.71875000e-03,-1.93750000e-03,-4.29687500e-02
-7.77605000e-07,8.90625000e-03,-1.87500000e-03,-7.81250000e-04,-4.48437500e-02
-7.74405000e-07,-3.12500000e-03,-1.62500000e-03,-7.81250000e-04,-4.93750000e-02
-7.71205000e-07,7.65625000e-03,-1.12500000e-03,-1.53125000e-03,-5.37500000e-02
-7.68005000e-07,4.68750000e-03,-7.50000000e-04,-1.40625000e-03,-3.92187500e-02
-7.64805000e-07,6.09375000e-03,-1.25000000e-03,-1.56250000e-04,-4.34375000e-02
-7.61605000e-07,7.18750000e-03,-4.06250000e-04,-1.40625000e-03,-3.18750000e-02
-7.58405000e-07,-1.87500000e-03,-1.90625000e-03,-1.65625000e-03,-3.56250000e-02
-7.55205000e-07,-6.25000000e-04,-1.25000000e-03,-5.62500000e-04,-4.09375000e-02
-7.52005000e-07,9.21875000e-03,-2.37500000e-03,-1.28125000e-03,-3.68750000e-02
-7.48805000e-07,-7.50000000e-03,-1.34375000e-03,-1.65625000e-03,-3.45312500e-02
-7.45605000e-07,4.53125000e-03,-1.34375000e-03,-7.81250000e-04,-3.21875000e-02
-7.42405000e-07,1.53125000e-02,-1.34375000e-03,-1.53125000e-03,-3.07812500e-02
-7.39205000e-07,7.50000000e-03,-1.37500000e-03,-1.40625000e-03,-3.06250000e-02
-7.36005000e-07,1.32812500e-02,9.37500000e-05,-7.81250000e-04,-3.56250000e-02
-7.32805000e-07,1.25000000e-02,3.12500000e-05,-1.53125000e-03,-2.70312500e-02
-7.29605000e-07,1.29687500e-02,-2.09375000e-03,-1.28125000e-03,-2.73437500e-02
-7.26405000e-07,1.84375000e-02,-1.06250000e-03,-1.40625000e-03,-3.62500000e-02
-7.23205000e-07,6.56250000e-03,-1.75000000e-03,-5.31250000e-04,-2.34375000e-02
-7.20005000e-07,1.00000000e-02,-1.00000000e-03,-3.12500000e-05,-3.07812500e-02
-7.16805000e-07,8.59375000e-03,-6.25000000e-05,-1.40625000e-03,-2.93750000e-02
-7.13605000e-07,1.59375000e-02,-4.68750000e-04,2.18750000e-04,-2.96875000e-02
-7.10405000e-07,2.81250000e-03,-8.75000000e-04,-1.28125000e-03,-3.43750000e-02
-7.07205000e-07,1.07812500e-02,-9.37500000e-05,-5.31250000e-04,-2.95312500e-02
