Model,MSO54
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09
Record Length,31250,,Record Length,31250,,Record Length,31250,,Record Length,31250
Zero Index,343.90156250,,Zero Index,343.90156250,,Zero Index,343.90156250,,Zero Index,343.90156250
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2,CH3,CH4
-9.46885000e-07,8.90625000e-03,1.87500000e-04,-5.31250000e-04,-3.18750000e-02
-9.43685000e-07,1.39062500e-02,-8.12500000e-04,-1.65625000e-03,-3.09375000e-02
-9.40485000e-07,7.03125000e-03,-2.21875000e-03,-5.31250000e-04,-3.09375000e-02
-9.37285000e-07,5.93750000e-03,-3.12500000e-05,-6.56250000e-04,-3.39062500e-02
-9.34085000e-07,1.00000000e-02,-1.00000000e-03,-1.53125000e-03,-3.79687500e-02
-9.30885000e-07,6.56250000e-03,-4.37500000e-04,-4.06250000e-04,-3.12500000e-02
-9.27685000e-07,-6.87500000e-03,-2.50000000e-03,-1.15625000e-03,-3.73437500e-02
-9.24485000e-07,6.56250000e-03,-4.37500000e-04,-1.65625000e-03,-4.25000000e-02
-9.21285000e-07,-3.59375000e-03,-1.25000000e-04,-6.56250000e-04,-3.59375000e-02
-9.18085000e-07,4.37500000e-03,-8.43750000e-04,-1.40625000e-03,-4.28125000e-02
-9.14885000e-07,2.34375000e-03,-2.12500000e-03,-1.56250000e-04,-4.65625000e-02
-9.11685000e-07,4.68750000e-04,-8.12500000e-04,-3.12500000e-04,-4.90625000e-02
-9.08485000e-07,1.56250000e-04,-1.34375000e-03,-1.56250000e-04,-4.03125000e-02
-9.05285000e-07,1.59375000e-02,-2.12500000e-03,-1.65625000e-03,-4.43750000e-02
-9.02085000e-07,1.40625000e-03,-8.75000000e-04,-1.15625000e-03,-3.43750000e-02
-8.98885000e-07,1.50000000e-02,-1.21875000e-03,-6.56250000e-04,-4.18750000e-02
