,0
0,1.3575946831862098
1,1.413249696057797
2,1.5967901432780056
3,1.9003152880779124
4,2.3290476552427437
5,2.8988020215691743
6,3.6345587316736307
7,4.56932991463694
8,5.742278034305253
9,7.19444000492417
10,8.959342704183028
11,11.04446353297966
12,13.399150482599861
13,15.869034593340977
14,18.152782926328403
15,19.805803638993275
16,20.350089978968953
17,19.488285600920914
18,17.285948355971527
19,14.152313994459325
20,10.630879792383844
21,7.182016411785258
22,4.087406575632245
23,1.4642105853827065
24,-0.6787759412119988
25,-2.388717518752051
26,-3.7339680124241337
27,-4.785021076312576
28,-5.605663922594108
29,-6.249790294043356
30,-6.761021588620627
31,-7.173562259351717
32,-7.5134886444548545
33,-7.800093295246745
34,-8.047125439389363
35,-8.263876596167075
36,-8.456111470524716
37,-8.626865855729609
38,-8.77713939606022
39,-8.90650871844849
40,-9.013679334036786
41,-9.096985172391213
42,-9.154834586775262
43,-9.186093067710107
44,-9.190387524411381
45,-9.168316178793203
46,-9.121552307538916
47,-9.052838526161151
48,-8.965879174039998
49,-8.86514910210522
50,-8.755645305960401
51,-8.64261166924849
52,-8.531266061437371
53,-8.426553853841797
54,-8.332944106553477
55,-8.254276068002874
56,-8.193655843635876
57,-8.153397231660007
58,-8.134997279532392
59,-8.13913605042049
60,-8.16569102896751
61,-8.213759009202672
62,-8.281681642080247
63,-8.36707456764017
64,-8.466863756181585
65,-8.577335885603542
66,-8.694211810643967
67,-8.812752913560383
68,-8.927908846124673
69,-9.03451148631819
70,-9.127513767839092
71,-9.202263866847542
72,-9.254796213259763
73,-9.282112756539115
74,-9.282423022009015
75,-9.255311656028464
76,-9.201808331736961
77,-9.124346529200366
78,-9.026612693471115
79,-8.913302414698759
80,-8.789812241100302
81,-8.661902095243367
82,-8.535363152983347
83,-8.415720258722104
84,-8.307988486295173
85,-8.216492758000253
86,-8.144749687438392
87,-8.09540348327076
88,-8.070203473675564
89,-8.070009518368256
90,-8.094812759203592
91,-8.14376213420084
92,-8.215191161545533
93,-8.306644099757241
94,-8.41490520782209
95,-8.5360389961341
96,-8.665452562751838
97,-8.797992743223325
98,-8.928090186281509
99,-9.049958975023191
100,-9.157853710832313
101,-9.24637634252788
102,-9.310813624028865
103,-9.347475055874549
104,-9.353993320465188
105,-9.329547329167882
106,-9.274973809562743
107,-9.192746721963081
108,-9.086822337500939
109,-8.962367464051129
110,-8.825404532539464
111,-8.682416513532008
112,-8.539955443716297
113,-8.404291534435718
114,-8.281127973940999
115,-8.175392881364766
116,-8.09110736034579
117,-8.03131919881315
118,-7.99808628872444
119,-7.992492167731192
120,-8.014677509930475
121,-8.063875002978655
122,-8.138439981549597
123,-8.235874746125374
124,-8.352850144153745
125,-8.485233260801001
126,-8.62813444137522
127,-8.775989678329754
128,-8.922694799076353
129,-9.061804976943284
130,-9.186806156772645
131,-9.29145397218609
132,-9.370161654527356
133,-9.418403668854397
134,-9.433089901183516
135,-9.412860063063942
136,-9.358252514163675
137,-9.271716545593398
138,-9.157459869543954
139,-9.0211485328044
140,-8.869498542087037
141,-8.709811996247524
142,-8.54951298443879
143,-8.395730674366089
144,-8.254962158788972
145,-8.13283012244039
146,-8.033934230950289
147,-7.96178299665281
148,-7.918785826563923
149,-7.906282787244661
150,-7.924591344692695
151,-7.973053725533365
152,-8.050074485693013
153,-8.153144527306209
154,-8.278854600824582
155,-8.422907832886922
156,-8.58014655799468
157,-8.744613021401275
158,-8.909665378450565
159,-9.068168617808277
160,-9.212773402585666
161,-9.336283745844629
162,-9.432097551033051
163,-9.49468478783507
164,-9.520050718516861
165,-9.506121454070138
166,-9.452990871030838
167,-9.362983536753326
168,-9.240515623990683
169,-9.091768665502443
170,-8.924221082462166
171,-8.746102190530829
172,-8.56583873501967
173,-8.391555330441296
174,-8.230671621918557
175,-8.08961643882963
176,-7.973658175781707
177,-7.886834799777761
178,-7.831957715604595
179,-7.810660880681788
