L,γ = 0.04,γ = 0.1,γ = 0.2,γ = 0.4,γ = 0.67,γ = 1.0,γ = 1.5,γ = 2.5,γ = 5.0,γ = 10.0,γ = 25.0
0.5290581162324649,0.9748552508189257,0.9383186277158545,0.8804418471185644,0.7751778461575496,0.6527505785700578,0.5290581162324649,0.38481772863800184,0.20359094260607713,0.04144927191123099,0.0017180421419711622,1.2234452274895393e-07
0.531062124248497,0.9750026882675421,0.938673447051998,0.88110784020048,0.7763510260627546,0.654406146775905,0.531062124248497,0.38700626221547213,0.20552436770961946,0.04224026572243887,0.001784240048302244,1.3447241604126566e-07
0.533066132264529,0.9751495925675507,0.9390270633811978,0.881771825762316,0.7775215527082082,0.6560596546082226,0.533066132264529,0.38919892900696856,0.20746876776724177,0.04304328959885769,0.001852724779491131,1.477499270727918e-07
0.5350701402805611,0.975295967640353,0.9393794852818805,0.8824338173684508,0.7786894420354565,0.6577111123625389,0.5350701402805611,0.39139572123594873,0.2094241634669305,0.04385848024382362,0.001923566289297867,1.6228108157163816e-07
0.5370741482965932,0.9754418173639547,0.9397307212394554,0.8830938284412271,0.7798547098309835,0.6593605302445926,0.5370741482965932,0.39359663116959975,0.2113905754578211,0.04468597539238877,0.0019968363967691745,1.7817887401952307e-07
0.5390781563126252,0.9755871455736069,0.9400807796476651,0.8837518722629619,0.7810173717282906,0.6610079183714476,0.5390781563126252,0.39580165111843035,0.21336802435041635,0.045525913815199874,0.0020726088287090065,1.9556600290293262e-07
0.5410821643286573,0.975731956062433,0.940429668809913,0.8844079619779225,0.7821774432099424,0.6626532867725893,0.5410821643286573,0.3980107734358675,0.21535653071680202,0.046378435322376906,0.0021509592629518977,2.1457566314796524e-07
0.5430861723446894,0.9758762525820465,0.9407773969405654,0.8850621105942661,0.7833349396095769,0.6642966453910051,0.5430861723446894,0.4002239905178588,0.21735611509086117,0.047243680767391695,0.0022319653724512155,2.3535239994768939e-07
0.5450901803607214,0.9760200388431559,0.9411239721662314,0.8857143309859457,0.7844898761138812,0.6659380040842461,0.5450901803607214,0.4024412948024799,0.21936679796848604,0.048121792050946584,0.0023157068701945456,2.5805302848318855e-07
0.5470941883767535,0.9761633185161598,0.9414694025270189,0.886364635894582,0.785642267764535,0.6675773726254726,0.5470941883767535,0.4046626787695471,0.2213885998077883,0.049012912124853036,0.002402265554958566,2.828476243509237e-07
0.5490981963927856,0.9763060952317296,0.941813695977768,0.8870130379313035,0.7867921294601201,0.6692147607044826,0.5490981963927856,0.4068881349402342,0.22342154102930695,0.04991718499591028,0.002491725357915931,3.099205898407745e-07
0.5511022044088176,0.9764483725813837,0.9421568603892626,0.8876595495785525,0.7879394759579987,0.6708501779287249,0.5511022044088176,0.4091176558766953,0.22546564201621486,0.05083475572978395,0.002584172390106802,3.394718015623678e-07
0.5531062124248497,0.97659015411805,0.9424989035494213,0.8883041831918616,0.7890843218761603,0.6724836338242949,0.5531062124248497,0.4113512341816919,0.227520923114523,0.05176577045488468,0.0026796949907878114,3.717178452933703e-07
0.5551102204408818,0.976731443356618,0.942839833164466,0.8889469510015979,0.7902266816950373,0.6741151378369162,0.5551102204408818,0.41358886249822446,0.22958740463328292,0.05271037636624678,0.0027783837766713875,4.068933443236956e-07
0.5571142284569138,0.9768722437744825,0.9431796568600694,0.8895878651146784,0.7913665697592911,0.675744699332906,0.5571142284569138,0.4158305335091691,0.23166510684478758,0.05366872172940685,0.0028803316920685074,4.4525238799551446e-07
0.5591182364729459,0.9770125588120765,0.9435183821824851,0.8902269375162539,0.7925040002795682,0.6773723276001259,0.5591182364729459,0.41807623993691856,0.2337540499847701,0.054640955884282395,0.002985634059948095,4.870700675921055e-07
0.561122244488978,0.9771523918733949,0.943856016599654,0.8908641800713664,0.7936389873342279,0.6789980318489172,0.561122244488978,0.42032597454302795,0.23585425425260084,0.05562722924905049,0.003094388633926418,5.326441272105704e-07
0.56312625250501,0.9772917463265086,0.9441925675022949,0.8914996045265755,0.7947715448710406,0.6806218212130228,0.56312625250501,0.4225797301278646,0.23796573981148286,0.05662769332402637,0.0032066956511999805,5.822967377659823e-07
0.565130260521042,0.9774306255040706,0.9445280422049732,0.8921332225115596,0.7959016867088599,0.6822437047504947,0.565130260521042,0.42483749953026245,0.2400885267886453,0.05764250069554205,0.0033226578864355653,6.363764028194558e-07
0.567134268537074,0.977569032703812,0.9448624479471537,0.8927650455406877,0.7970294265392662,0.6838636914445864,0.567134268537074,0.4270992756271812,0.2422226352755356,0.058671805039825144,0.003442380706631251,6.952600055018645e-07
0.5691382765531061,0.97770697118903,0.9451957918942331,0.8933950850145663,0.7981547779281842,0.6854817902046332,0.5691382765531061,0.42936505133336833,0.24436808532800922,0.05971576112687719,0.0035659721269622564,7.593550064204029e-07
0.5711422845691382,0.9778444441890672,0.9455280811385556,0.894023352221559,0.7992777543174737,0.6870980098669182,0.5711422845691382,0.43163481960102684,0.24652489696651833,0.06077452482435247,0.0036935428676258346,8.291018030892836e-07
0.5731462925851702,0.9779814548997827,0.9458593227004113,0.8946498583392809,0.8003983690264954,0.6887123591955253,0.5731462925851702,0.4339085734194862,0.2486930901762987,0.06184825310143663,0.0038252064116993654,9.049762621204445e-07
0.5751503006012023,0.9781180064840148,0.9461895235290171,0.8952746144360685,0.801516635253651,0.6903248468831796,0.5751503006012023,0.4361863058148775,0.25087268490755477,0.06293710403272526,0.003961079064026082,9.874924361479885e-07
0.5771543086172344,0.9782541020720358,0.9465186905034808,0.8958976314724242,0.8026325660778995,0.691935481552075,0.5771543086172344,0.4384680098498127,0.25306370107564335,0.06404123680210258,0.004101280011142979,1.0772054782434119e-06
0.5791583166332664,0.9783897447619992,0.9468468304337493,0.8965189203024372,0.8037461744602477,0.6935442717546881,0.5791583166332664,0.4407536786230675,0.2552661585612555,0.06516081170662004,0.004245931382265591,1.1747147674102797e-06
0.5811623246492985,0.9785249376203794,0.9471739500615401,0.8971384916751809,0.8048574732452187,0.6951512259745831,0.5811623246492985,0.4430433052692685,0.2574800772105969,0.06629599016037493,0.0043951583113445315,1.2806672596296108e-06
0.5831663326653306,0.9786596836824025,0.9475000560612581,0.8977563562360873,0.8059664751622965,0.6967563526272009,0.5831663326653306,0.44533688295858354,0.2597054768355667,0.06744693469838908,0.004549089000208761,1.39576107986379e-06
