step,loss,acc
0,3.2828073501586914,0.0
100,3.2290596961975098,0.0
200,3.256272315979004,0.21044921875
300,3.0197865962982178,0.0
400,2.8386669158935547,0.1875
500,2.744565725326538,0.080078125
600,2.8291444778442383,0.09765625
700,2.522667646408081,0.09130859375
800,2.490668296813965,0.22802734375
900,2.4965622425079346,0.24755859375
1000,2.3449840545654297,0.17041015625
1100,2.469630479812622,0.1220703125
1200,2.2530884742736816,0.279296875
1300,2.4113070964813232,0.16796875
1400,2.5575802326202393,0.18798828125
1500,2.033597469329834,0.201171875
1600,2.0109446048736572,0.13525390625
1700,1.9275233745574951,0.12841796875
1800,2.113219738006592,0.16357421875
1900,2.3363771438598633,0.353515625
2000,2.3439483642578125,0.2314453125
2100,1.9965507984161377,0.25537109375
2200,2.161797523498535,0.17724609375
2300,1.9810315370559692,0.15087890625
2400,1.9028136730194092,0.3369140625
2500,1.8720066547393799,0.37744140625
2600,1.4229034185409546,0.29052734375
2700,2.1502928733825684,0.2763671875
2800,1.5562810897827148,0.24755859375
2900,1.7525533437728882,0.2392578125
3000,1.7580865621566772,0.291015625
3100,1.6927677392959595,0.34521484375
3200,1.9589393138885498,0.31689453125
3300,1.9239763021469116,0.26318359375
3400,2.0227863788604736,0.32666015625
3500,1.824592113494873,0.3466796875
3600,1.7862731218338013,0.25732421875
3700,2.2315993309020996,0.30615234375
3800,1.6722489595413208,0.384765625
