step,loss,acc
0,3.256239175796509,0.013671875
100,2.0982892513275146,0.57568359375
200,1.4078407287597656,0.537109375
300,0.8927839994430542,0.65283203125
400,0.6712417602539062,0.7421875
500,1.035400629043579,0.6708984375
600,0.7292987704277039,0.81884765625
700,0.8100274801254272,0.72021484375
800,0.6685194373130798,0.76220703125
900,0.6172795295715332,0.81298828125
1000,0.47189322113990784,0.8125
1100,0.4728824496269226,0.8232421875
1200,0.5832040309906006,0.79443359375
1300,0.7540014386177063,0.8076171875
1400,0.5955612063407898,0.765625
1500,0.3073783218860626,0.8232421875
1600,0.481528639793396,0.84765625
1700,0.39267200231552124,0.82958984375
1800,0.3093867599964142,0.79541015625
1900,0.6560290455818176,0.88720703125
2000,0.7086440920829773,0.82177734375
2100,1.2869513034820557,0.84912109375
2200,0.5072497725486755,0.80078125
2300,0.42447322607040405,0.85888671875
2400,0.6001449823379517,0.8427734375
2500,0.6231282353401184,0.8271484375
2600,0.5867124199867249,0.82275390625
2700,0.1883905827999115,0.77783203125
2800,0.4906162619590759,0.875
2900,0.7410063147544861,0.86328125
3000,0.514975368976593,0.8564453125
3100,0.4791400730609894,0.8955078125
3200,0.39229118824005127,0.84375
3300,0.39211663603782654,0.8642578125
3400,0.5711498856544495,0.8486328125
3500,0.481123149394989,0.87744140625
3600,0.4260023236274719,0.8798828125
3700,0.3057810962200165,0.85400390625
3800,0.5031556487083435,0.888671875
