step,loss,acc
0,3.265476942062378,0.0
100,3.2432992458343506,0.0
200,3.2754299640655518,0.390625
300,3.260341167449951,0.0
400,3.2736825942993164,0.0
500,3.2563180923461914,0.390625
600,3.253668785095215,0.0
700,3.2594099044799805,0.0
800,3.2615480422973633,0.0
900,3.2528953552246094,0.0
1000,3.2558329105377197,0.0
1100,3.262929677963257,0.0
1200,3.2570388317108154,0.0
1300,3.260774612426758,0.390625
1400,3.26395583152771,0.0
1500,3.2613942623138428,0.390625
1600,3.2643656730651855,0.0
1700,3.256514072418213,0.0
1800,3.2559213638305664,0.0
1900,3.2527785301208496,0.0
2000,3.251033067703247,0.0
2100,3.2635297775268555,0.0
2200,3.2674896717071533,0.0
2300,3.259324789047241,0.0
2400,3.2550883293151855,0.0
2500,3.2647130489349365,0.0
2600,3.262521982192993,0.0
2700,3.258073568344116,0.0
2800,3.2522857189178467,0.0
2900,3.2550156116485596,0.0
3000,3.2576234340667725,0.390625
3100,3.2584452629089355,0.390625
3200,3.2559685707092285,0.0
3300,3.257413864135742,0.0
3400,3.2592718601226807,0.0
3500,3.250223159790039,0.0
3600,3.252089738845825,0.0
3700,3.2577719688415527,0.0
3800,3.262251138687134,0.0
