Model,MSO54
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09
Record Length,31250,,Record Length,31250,,Record Length,31250,,Record Length,31250
Zero Index,343.40156250,,Zero Index,343.40156250,,Zero Index,343.40156250,,Zero Index,343.40156250
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2,CH3,CH4
-1.09888500e-06,1.59375000e-02,-8.12500000e-04,-4.06250000e-04,-2.67187500e-02
-1.09568500e-06,1.32812500e-02,-2.81250000e-04,7.18750000e-04,-2.18750000e-02
-1.09248500e-06,3.75000000e-03,-3.12500000e-04,-2.81250000e-04,-1.23437500e-02
-1.08928500e-06,3.90625000e-03,-9.37500000e-05,4.68750000e-04,-2.50000000e-02
-1.08608500e-06,7.96875000e-03,-1.06250000e-03,-1.56250000e-04,-2.65625000e-02
-1.08288500e-06,1.51562500e-02,-1.81250000e-03,7.18750000e-04,-2.56250000e-02
-1.07968500e-06,2.21875000e-02,-4.37500000e-04,-1.65625000e-03,-2.25000000e-02
-1.07648500e-06,1.54687500e-02,5.93750000e-04,2.18750000e-04,-1.40625000e-02
-1.07328500e-06,1.64062500e-02,-1.06250000e-03,3.43750000e-04,-1.28125000e-02
-1.07008500e-06,6.56250000e-03,-1.71875000e-03,-2.81250000e-04,-2.70312500e-02
-1.06688500e-06,1.01562500e-02,8.43750000e-04,-1.56250000e-04,-1.45312500e-02
-1.06368500e-06,1.59375000e-02,-8.75000000e-04,5.93750000e-04,-2.35937500e-02
-1.06048500e-06,1.82812500e-02,-4.06250000e-04,-5.31250000e-04,-2.67187500e-02
-1.05728500e-06,4.53125000e-03,-2.00000000e-03,1.09375000e-03,-2.37500000e-02
-1.05408500e-06,9.53125000e-03,-1.87500000e-04,-1.78125000e-03,-2.09375000e-02
-1.05088500e-06,1.25000000e-02,-1.84375000e-03,-7.81250000e-04,-2.53125000e-02
-1.04768500e-06,1.00000000e-02,-1.06250000e-03,7.18750000e-04,-2.93750000e-02
-1.04448500e-06,8.90625000e-03,-1.84375000e-03,-3.12500000e-05,-2.73437500e-02
-1.04128500e-06,1.68750000e-02,2.18750000e-04,8.43750000e-04,-1.89062500e-02
-1.03808500e-06,1.15625000e-02,-4.06250000e-04,-1.28125000e-03,-2.85937500e-02
-1.03488500e-06,1.21875000e-02,-1.06250000e-03,-3.12500000e-05,-2.34375000e-02
-1.03168500e-06,5.93750000e-03,-7.81250000e-04,-1.87500000e-04,-2.68750000e-02
-1.02848500e-06,1.03125000e-02,-3.43750000e-04,-2.81250000e-04,-2.53125000e-02
-1.02528500e-06,5.78125000e-03,-3.12500000e-04,-1.65625000e-03,-2.62500000e-02
-1.02208500e-06,1.42187500e-02,-5.93750000e-04,-1.53125000e-03,-2.60937500e-02
-1.01888500e-06,1.62500000e-02,-9.37500000e-04,-3.12500000e-05,-1.82812500e-02
-1.01568500e-06,1.15625000e-02,-9.37500000e-04,-2.81250000e-04,-2.04687500e-02
-1.01248500e-06,8.75000000e-03,-9.68750000e-04,3.43750000e-04,-2.10937500e-02
-1.00928500e-06,1.98437500e-02,-1.90625000e-03,-7.81250000e-04,-1.26562500e-02
-1.00608500e-06,1.06250000e-02,-9.37500000e-04,-6.56250000e-04,-1.93750000e-02
-1.00288500e-06,1.32812500e-02,1.87500000e-04,3.43750000e-04,-2.06250000e-02
-9.99685000e-07,1.21875000e-02,-4.37500000e-04,-1.53125000e-03,-1.84375000e-02
-9.96485000e-07,1.15625000e-02,-1.31250000e-03,9.37500000e-05,-1.85937500e-02
-9.93285000e-07,1.46875000e-02,-1.87500000e-04,5.93750000e-04,-2.04687500e-02
-9.90085000e-07,4.53125000e-03,-6.56250000e-04,-1.28125000e-03,-2.65625000e-02
-9.86885000e-07,7.65625000e-03,-7.18750000e-04,3.43750000e-04,-2.21875000e-02
-9.83685000e-07,1.53125000e-02,8.12500000e-04,-1.53125000e-03,-2.26562500e-02
-9.80485000e-07,2.48437500e-02,-4.06250000e-04,7.18750000e-04,-2.71875000e-02
-9.77285000e-07,2.00000000e-02,-2.81250000e-04,-3.12500000e-05,-1.85937500e-02
-9.74085000e-07,1.75000000e-02,-7.50000000e-04,3.43750000e-04,-1.31250000e-02
-9.70885000e-07,1.31250000e-02,-2.18750000e-04,-1.28125000e-03,-1.75000000e-02
-9.67685000e-07,8.90625000e-03,-2.00000000e-03,-2.81250000e-04,-2.43750000e-02
-9.64485000e-07,1.54687500e-02,1.87500000e-04,4.68750000e-04,-1.45312500e-02
-9.61285000e-07,1.09375000e-02,-2.18750000e-04,-1.53125000e-03,-2.03125000e-02
-9.58085000e-07,1.54687500e-02,-8.12500000e-04,-1.53125000e-03,-1.90625000e-02
-9.54885000e-07,1.06250000e-02,-6.56250000e-04,-1.28125000e-03,-2.56250000e-02
-9.51685000e-07,1.71875000e-02,-6.25000000e-05,-1.03125000e-03,-1.71875000e-02
-9.48485000e-07,3.90625000e-03,-4.37500000e-04,-4.06250000e-04,-1.92187500e-02
