Model,MSO54
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09
Record Length,31250,,Record Length,31250,,Record Length,31250,,Record Length,31250
Zero Index,343.50156250,,Zero Index,343.50156250,,Zero Index,343.50156250,,Zero Index,343.50156250
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2,CH3,CH4
-9.48805000e-07,-8.90625000e-03,-1.34375000e-03,-5.31250000e-04,-3.09375000e-02
-9.45605000e-07,-1.56250000e-03,-8.12500000e-04,2.18750000e-04,-3.03125000e-02
-9.42405000e-07,-1.87500000e-03,-2.09375000e-03,-2.81250000e-04,-2.76562500e-02
-9.39205000e-07,-3.12500000e-03,-1.34375000e-03,2.18750000e-04,-3.67187500e-02
-9.36005000e-07,-7.65625000e-03,-7.81250000e-04,-2.81250000e-04,-4.40625000e-02
-9.32805000e-07,3.12500000e-03,-1.34375000e-03,-3.12500000e-05,-3.18750000e-02
-9.29605000e-07,-6.09375000e-03,-9.37500000e-04,-3.62500000e-03,-4.07812500e-02
-9.26405000e-07,-3.43750000e-03,-5.93750000e-04,-4.06250000e-04,-3.84375000e-02
-9.23205000e-07,-2.18750000e-03,-1.43750000e-03,-1.53125000e-03,-3.84375000e-02
-9.20005000e-07,-2.96875000e-03,-1.75000000e-03,-1.40625000e-03,-4.10937500e-02
-9.16805000e-07,3.12500000e-04,-1.09375000e-03,-1.15625000e-03,-3.95312500e-02
-9.13605000e-07,-7.03125000e-03,-1.50000000e-03,9.37500000e-05,-3.81250000e-02
-9.10405000e-07,-4.21875000e-03,-1.18750000e-03,-1.40625000e-03,-3.56250000e-02
-9.07205000e-07,-7.18750000e-03,-1.62500000e-03,-1.56250000e-04,-4.73437500e-02
-9.04005000e-07,-1.87500000e-03,-1.46875000e-03,-4.37500000e-04,-3.26562500e-02
-9.00805000e-07,-2.50000000e-03,-1.50000000e-03,-7.81250000e-04,-4.17187500e-02
-8.97605000e-07,-5.15625000e-03,-7.81250000e-04,-1.15625000e-03,-4.32812500e-02
-8.94405000e-07,-4.06250000e-03,-1.25000000e-03,-2.40625000e-03,-4.92187500e-02
-8.91205000e-07,-6.87500000e-03,-1.34375000e-03,-1.40625000e-03,-5.15625000e-02
-8.88005000e-07,-1.71875000e-03,-1.53125000e-03,-1.40625000e-03,-4.23437500e-02
-8.84805000e-07,-1.37500000e-02,-3.12500000e-05,-1.90625000e-03,-4.04687500e-02
-8.81605000e-07,-1.25000000e-02,-7.18750000e-04,-4.06250000e-04,-3.95312500e-02
-8.78405000e-07,-3.75000000e-03,-1.78125000e-03,-2.40625000e-03,-4.37500000e-02
-8.75205000e-07,-6.56250000e-03,-9.68750000e-04,-4.06250000e-04,-4.15625000e-02
-8.72005000e-07,-1.00000000e-02,-1.43750000e-03,9.37500000e-05,-2.76562500e-02
-8.68805000e-07,4.84375000e-03,-1.59375000e-03,-3.09375000e-03,-3.75000000e-02
-8.65605000e-07,3.12500000e-04,-7.50000000e-04,-1.28125000e-03,-3.85937500e-02
-8.62405000e-07,3.90625000e-03,-1.96875000e-03,-1.03125000e-03,-4.29687500e-02
-8.59205000e-07,4.37500000e-03,-5.31250000e-04,-4.37500000e-04,-3.09375000e-02
-8.56005000e-07,5.78125000e-03,-7.18750000e-04,2.18750000e-04,-3.34375000e-02
-8.52805000e-07,5.62500000e-03,-1.46875000e-03,-2.03125000e-03,-3.68750000e-02
-8.49605000e-07,1.56250000e-03,-1.46875000e-03,-1.65625000e-03,-2.96875000e-02
-8.46405000e-07,5.78125000e-03,-1.71875000e-03,-7.81250000e-04,-2.71875000e-02
-8.43205000e-07,1.71875000e-03,-1.50000000e-03,-1.03125000e-03,-3.01562500e-02
-8.40005000e-07,7.81250000e-03,-1.96875000e-03,-7.81250000e-04,-3.21875000e-02
-8.36805000e-07,1.25000000e-03,-2.78125000e-03,-6.56250000e-04,-3.31250000e-02
-8.33605000e-07,1.04687500e-02,-1.06250000e-03,2.18750000e-04,-2.00000000e-02
-8.30405000e-07,9.37500000e-04,-5.93750000e-04,-1.03125000e-03,-3.25000000e-02
-8.27205000e-07,7.18750000e-03,-1.21875000e-03,-3.12500000e-05,-3.12500000e-02
-8.24005000e-07,6.71875000e-03,-6.56250000e-04,-3.12500000e-05,-3.07812500e-02
-8.20805000e-07,3.90625000e-03,3.12500000e-05,-1.28125000e-03,-3.70312500e-02
-8.17605000e-07,5.93750000e-03,-1.25000000e-04,-2.81250000e-04,-3.26562500e-02
-8.14405000e-07,-9.37500000e-04,-1.21875000e-03,-7.81250000e-04,-3.09375000e-02
-8.11205000e-07,7.50000000e-03,-5.00000000e-04,4.68750000e-04,-2.92187500e-02
-8.08005000e-07,6.25000000e-03,-1.62500000e-03,3.43750000e-04,-3.31250000e-02
-8.04805000e-07,1.14062500e-02,-1.25000000e-04,-1.28125000e-03,-1.79687500e-02
-8.01605000e-07,1.43750000e-02,-1.71875000e-03,-1.40625000e-03,-3.46875000e-02
-7.98405000e-07,8.28125000e-03,-1.87500000e-03,5.93750000e-04,-3.10937500e-02
-7.95205000e-07,6.71875000e-03,3.12500000e-05,-1.15625000e-03,-2.60937500e-02
-7.92005000e-07,1.21875000e-02,3.12500000e-04,-1.81250000e-03,-2.18750000e-02
-7.88805000e-07,1.14062500e-02,-4.37500000e-04,-7.81250000e-04,-2.14062500e-02
-7.85605000e-07,1.09375000e-03,-1.18750000e-03,5.93750000e-04,-2.62500000e-02
-7.82405000e-07,3.28125000e-03,-1.87500000e-04,-1.65625000e-03,-2.40625000e-02
-7.79205000e-07,1.71875000e-03,6.25000000e-05,-1.15625000e-03,-1.89062500e-02
-7.76005000e-07,3.59375000e-03,-3.12500000e-04,-1.40625000e-03,-3.28125000e-02
-7.72805000e-07,5.62500000e-03,-1.09375000e-03,1.56250000e-04,-2.71875000e-02
-7.69605000e-07,-3.90625000e-03,-1.81250000e-03,-1.56250000e-04,-3.20312500e-02
-7.66405000e-07,-1.25000000e-03,-2.00000000e-03,9.37500000e-05,-2.64062500e-02
-7.63205000e-07,-9.21875000e-03,-1.28125000e-03,-1.40625000e-03,-2.71875000e-02
-7.60005000e-07,1.56250000e-03,-1.62500000e-03,7.18750000e-04,-2.92187500e-02
-7.56805000e-07,6.87500000e-03,-1.34375000e-03,-6.56250000e-04,-2.85937500e-02
-7.53605000e-07,-4.06250000e-03,-1.53125000e-03,-1.15625000e-03,-2.85937500e-02
-7.50405000e-07,6.25000000e-04,-1.59375000e-03,-1.40625000e-03,-3.07812500e-02
-7.47205000e-07,-9.37500000e-03,-1.09375000e-03,-6.56250000e-04,-3.84375000e-02
-7.44005000e-07,-1.28125000e-02,-1.12500000e-03,-1.15625000e-03,-3.70312500e-02
-7.40805000e-07,-6.25000000e-03,-1.00000000e-03,-7.81250000e-04,-4.23437500e-02
-7.37605000e-07,-1.56250000e-03,-1.96875000e-03,-2.40625000e-03,-3.96875000e-02
-7.34405000e-07,-6.71875000e-03,-1.71875000e-03,3.43750000e-04,-3.28125000e-02
-7.31205000e-07,-1.40625000e-03,-1.81250000e-03,-3.12500000e-05,-4.03125000e-02
-7.28005000e-07,-2.50000000e-03,-8.43750000e-04,-1.03125000e-03,-2.76562500e-02
-7.24805000e-07,-2.50000000e-03,-1.09375000e-03,-2.40625000e-03,-3.64062500e-02
-7.21605000e-07,-4.68750000e-04,-1.31250000e-03,4.68750000e-04,-2.15625000e-02
-7.18405000e-07,-8.43750000e-03,-1.34375000e-03,-3.12500000e-05,-2.67187500e-02
-7.15205000e-07,-3.28125000e-03,-1.78125000e-03,-2.81250000e-04,-2.82812500e-02
-7.12005000e-07,-3.75000000e-03,-2.46875000e-03,-2.81250000e-04,-2.14062500e-02
-7.08805000e-07,-4.53125000e-03,-1.37500000e-03,-1.15625000e-03,-2.60937500e-02
-7.05605000e-07,7.65625000e-03,-2.25000000e-03,-7.81250000e-04,-2.57812500e-02
-7.02405000e-07,-1.56250000e-03,-9.68750000e-04,-1.56250000e-04,-1.75000000e-02
-6.99205000e-07,9.06250000e-03,-7.81250000e-04,-1.53125000e-03,-2.20312500e-02
-6.96005000e-07,7.03125000e-03,-1.18750000e-03,-6.56250000e-04,-1.64062500e-02
-6.92805000e-07,3.90625000e-03,6.25000000e-05,2.18750000e-04,-2.21875000e-02
-6.89605000e-07,4.06250000e-03,-4.06250000e-04,-6.56250000e-04,-2.09375000e-02
-6.86405000e-07,4.06250000e-03,-1.84375000e-03,-7.81250000e-04,-1.78125000e-02
-6.83205000e-07,8.90625000e-03,-1.09375000e-03,3.43750000e-04,-2.50000000e-02
-6.80005000e-07,9.68750000e-03,-1.18750000e-03,-6.56250000e-04,-2.29687500e-02
-6.76805000e-07,2.34375000e-03,-9.68750000e-04,-6.56250000e-04,-1.70312500e-02
-6.73605000e-07,5.93750000e-03,-8.12500000e-04,-1.65625000e-03,-1.82812500e-02
-6.70405000e-07,4.68750000e-04,-1.09375000e-03,-1.78125000e-03,-2.73437500e-02
-6.67205000e-07,-2.18750000e-03,-2.37500000e-03,-2.81250000e-04,-1.98437500e-02
-6.64005000e-07,3.90625000e-03,1.87500000e-04,-5.31250000e-04,-2.85937500e-02
-6.60805000e-07,3.75000000e-03,-9.06250000e-04,-1.53125000e-03,-3.20312500e-02
-6.57605000e-07,2.81250000e-03,-1.90625000e-03,-2.81250000e-04,-3.87500000e-02
-6.54405000e-07,3.90625000e-03,-2.81250000e-04,-7.81250000e-04,-3.87500000e-02
-6.51205000e-07,8.59375000e-03,-1.87500000e-03,-4.06250000e-04,-2.54687500e-02
-6.48005000e-07,1.34375000e-02,-1.62500000e-03,-1.40625000e-03,-2.57812500e-02
-6.44805000e-07,4.21875000e-03,-6.87500000e-04,-1.56250000e-03,-3.48437500e-02
-6.41605000e-07,-3.12500000e-04,-2.00000000e-03,-2.28125000e-03,-3.12500000e-02
-6.38405000e-07,2.34375000e-03,-1.96875000e-03,-1.78125000e-03,-4.04687500e-02
-6.35205000e-07,2.81250000e-03,-2.00000000e-03,-1.03125000e-03,-4.17187500e-02
-6.32005000e-07,6.25000000e-04,-2.53125000e-03,-1.03125000e-03,-4.34375000e-02
-6.28805000e-07,2.96875000e-03,-3.43750000e-04,-1.31250000e-03,-3.59375000e-02
-6.25605000e-07,2.81250000e-03,-3.12500000e-05,-1.43750000e-03,-3.71875000e-02
-6.22405000e-07,1.25000000e-03,-2.12500000e-03,-2.06250000e-03,-4.04687500e-02
-6.19205000e-07,7.81250000e-04,-2.25000000e-03,5.93750000e-04,-3.45312500e-02
-6.16005000e-07,2.65625000e-03,-2.81250000e-04,-2.15625000e-03,-3.67187500e-02
-6.12805000e-07,1.71875000e-03,5.62500000e-04,-1.03125000e-03,-3.39062500e-02
-6.09605000e-07,2.18750000e-03,-1.09375000e-03,-1.28125000e-03,-3.62500000e-02
-6.06405000e-07,-1.71875000e-03,-7.50000000e-04,-2.81250000e-04,-3.40625000e-02
-6.03205000e-07,5.31250000e-03,-5.62500000e-04,-1.40625000e-03,-3.82812500e-02
-6.00005000e-07,-3.12500000e-04,-1.00000000e-03,-1.65625000e-03,-3.56250000e-02
